SRR25266111	162
SRR25266112	1003
SRR25266113	81
SRR25266114	236
SRR25266115	356
SRR25266116	274
SRR25266117	76
SRR25266118	176
SRR25266119	179
SRR25266120	200
SRR25266121	605
SRR25266122	536
SRR25266123	94
SRR25266124	212
SRR25266125	356
SRR25266126	135
SRR25266127	231
SRR25266128	144
SRR25266129	117
SRR25266130	161
SRR25266131	284
SRR25266132	73
SRR25266133	350
SRR25266134	87
SRR25266135	54
SRR25266136	547
SRR25266137	187
SRR25266138	117
SRR25266139	73
SRR25266140	277
SRR25266141	68
SRR25266142	381
SRR25266143	362
