Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25266111_trim.1	60.99379772702829	44.0	133.63309790986986	27.27272727272727	27893.0
SRR25266111_trim.2	59.82146058150791	44.0	133.16240633850788	27.27272727272727	27893.0
SRR25266112_trim.1	75.3088504012076	44.0	136.0303487725431	18.181818181818183	100696.0
SRR25266112_trim.2	73.06149201557162	44.0	135.27988202113292	27.27272727272727	100696.0
SRR25266113_trim.1	45.88923030802668	44.0	134.9291763471483	9.090909090909092	13343.0
SRR25266113_trim.2	43.65584950910589	44.0	134.15094056808815	9.090909090909092	13343.0
SRR25266114_trim.1	60.18134614639439	44.0	135.36606347115125	27.27272727272727	25807.0
SRR25266114_trim.2	58.3407602588445	44.0	134.76595497345681	27.27272727272727	25807.0
SRR25266115_trim.1	66.54440010904855	44.0	135.12364618701827	27.27272727272727	40349.0
SRR25266115_trim.2	65.1441175741654	44.0	134.59015093310862	27.27272727272727	40349.0
SRR25266116_trim.1	57.55650882692625	44.0	136.26233294835836	27.27272727272727	24244.0
SRR25266116_trim.2	56.32733872298301	44.0	135.6978633888797	18.181818181818183	24244.0
SRR25266117_trim.1	49.11490008688097	43.0	122.87033014769766	0.0	18416.0
SRR25266117_trim.2	49.05516941789748	43.0	122.77199174630756	0.0	18416.0
SRR25266118_trim.1	64.33666191155493	46.0	135.47127480223057	27.27272727272727	23133.0
SRR25266118_trim.2	63.50235594172827	46.0	135.12199023040677	27.27272727272727	23133.0
SRR25266119_trim.1	60.73264116449933	44.0	132.79076265047775	27.27272727272727	28991.0
SRR25266119_trim.2	58.680280086923524	44.0	131.993929150426	18.181818181818183	28991.0
SRR25266120_trim.1	54.265791632485644	44.0	135.3708470057424	27.27272727272727	19504.0
SRR25266120_trim.2	53.50697292863003	44.0	134.88504922067267	27.27272727272727	19504.0
SRR25266121_trim.1	71.98228839119554	44.0	131.93336328049799	27.27272727272727	77915.0
SRR25266121_trim.2	69.26137457485721	44.0	130.99910158506063	27.27272727272727	77915.0
