Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR25266122	116470.0	0.0	116470.0	1.0	58235.0	58235.0	7194.0	7192.0	109276.0	7174.0	116470.0	398.0	0.0	0.0	0.0	12.0	15788666.0	7908558.0	7880108.0	988626.0	977530.0	0.0	54226.0	1199.0	0.001226561	135.0	136.0	135.0	151.0	151.0	151.0	37.3	276.0	167.8	3126.0	470.0	0.0	0.0	6.2	6.176697862110415	6.174980681720615	93.82330213788958	6.159526058212415	100.0	0.34171889757018975	0.0	0.0
SRR25266123	26188.0	0.0	26188.0	1.0	13094.0	13094.0	1229.0	1226.0	24959.0	1226.0	26188.0	26.0	0.0	0.0	0.0	0.0	3477666.0	1753417.0	1724249.0	166821.0	164556.0	0.0	3426.0	412.0	0.002503707	132.0	134.0	132.0	151.0	151.0	151.0	35.7	230.7	126.6	532.0	81.0	0.0	0.0	4.7	4.6929891553383225	4.68153352680617	95.30701084466168	4.68153352680617	100.0	0.09928211394531847	0.0	0.0
SRR25266124	53638.0	0.0	53638.0	1.0	26819.0	26819.0	2973.0	2968.0	50665.0	2956.0	53638.0	90.0	0.0	0.0	0.0	2.0	6657828.0	3356238.0	3301590.0	367389.0	361971.0	0.0	10683.0	1248.0	0.00344779	124.0	125.0	123.0	151.0	151.0	151.0	35.3	179.7	107.9	1138.0	345.0	1.0	0.0	5.5	5.542712256236251	5.533390506730304	94.45728774376376	5.5110183079160295	100.0	0.167791491107051	0.0	0.0
SRR25266125	86132.0	0.0	86132.0	1.0	43066.0	43066.0	4979.0	4976.0	81153.0	4964.0	86132.0	210.0	0.0	0.0	0.0	10.0	11196098.0	5608382.0	5587716.0	651340.0	643067.0	0.0	25066.0	875.0	0.001360667	129.0	130.0	130.0	151.0	151.0	151.0	37.3	226.3	147.2	2036.0	451.0	1.0	0.0	5.8	5.780662239353551	5.777179213300516	94.21933776064645	5.7632471090883755	100.0	0.2438118237124414	0.0	0.0
SRR25266126	80716.0	0.0	80716.0	1.0	40358.0	40358.0	1700.0	1698.0	79016.0	1678.0	80716.0	14.0	0.0	0.0	0.0	26.0	10791931.0	5408346.0	5383585.0	232048.0	229342.0	0.0	2045.0	296.0	0.001290649	133.0	134.0	133.0	151.0	151.0	151.0	37.2	265.6	178.7	725.0	123.0	1.0	0.0	2.1	2.1061499578770007	2.103672134397146	97.89385004212299	2.0788938995985924	100.0	0.017344764358987064	0.0	0.0
SRR25266127	89622.0	0.0	89622.0	1.0	44811.0	44811.0	3056.0	3048.0	86566.0	3046.0	89622.0	86.0	0.0	0.0	0.0	2.0	12011417.0	6016984.0	5994433.0	417867.0	411024.0	0.0	11641.0	571.0	0.001389213	134.0	134.0	134.0	151.0	151.0	151.0	37.3	258.5	153.4	1323.0	200.0	1.0	0.0	3.4	3.4098770391198587	3.4009506594362993	96.59012296088014	3.398719064515409	100.0	0.09595858159826828	0.0	0.0
SRR25266128	15950.0	0.0	15950.0	1.0	7975.0	7975.0	1870.0	1870.0	14080.0	1870.0	15950.0	54.0	0.0	0.0	0.0	1.0	2088072.0	1045694.0	1042378.0	245518.0	243504.0	0.0	6858.0	233.0	0.0009568631	130.0	131.0	131.0	151.0	151.0	151.0	37.2	221.7	139.4	759.0	176.0	0.0	0.0	11.7	11.724137931034482	11.724137931034482	88.27586206896552	11.724137931034482	100.0	0.3385579937304075	0.0	0.0
SRR25266129	35518.0	0.0	35518.0	1.0	17759.0	17759.0	1498.0	1496.0	34020.0	1432.0	35518.0	26.0	0.0	0.0	0.0	48.0	4827882.0	2422989.0	2404893.0	204520.0	200821.0	0.0	3181.0	217.0	0.001080564	135.0	136.0	135.0	151.0	151.0	151.0	37.1	311.2	289.4	652.0	96.0	0.0	0.0	4.0	4.217579818683484	4.211948870994989	95.78242018131652	4.031758544963117	100.0	0.07320231995044765	0.0	0.0
SRR25266130	33534.0	0.0	33534.0	1.0	16767.0	16767.0	1869.0	1868.0	31665.0	1868.0	33534.0	32.0	0.0	0.0	0.0	1.0	4462530.0	2234191.0	2228339.0	254646.0	252045.0	0.0	4556.0	371.0	0.001471959	133.0	133.0	133.0	151.0	151.0	151.0	37.1	247.7	148.6	778.0	156.0	0.0	0.0	5.6	5.5734478439792445	5.57046579590863	94.42655215602076	5.57046579590863	100.0	0.09542553825967674	0.0	0.0
SRR25266131	67660.0	0.0	67660.0	1.0	33830.0	33830.0	3578.0	3578.0	64082.0	3546.0	67660.0	114.0	0.0	0.0	0.0	23.0	9230488.0	4629541.0	4600947.0	493747.0	488457.0	0.0	16037.0	929.0	0.001901907	136.0	137.0	136.0	151.0	151.0	151.0	37.2	275.8	168.3	1550.0	237.0	2.0	0.0	5.2	5.288205734555128	5.288205734555128	94.71179426544487	5.240910434525569	100.0	0.16848950635530593	0.0	0.0
